episode,epsilon,Q_Up,Q_Down,Q_LEFT,Q_RIGHT,visits
24500,0.75745,-1500.9436982151647,-1562.6523544474219,-11.544776955901677,-7202.98415994957,13359.0
25000,0.7525,-84.09121771262517,-679.9669490546711,-10.397295671162881,-8890.60891702438,13460.0
25500,0.7475499999999999,-2046.5506601091904,-1885.9410589087856,-11.750678588187032,-8251.030362896454,13587.0
26000,0.7425999999999999,-1040.1901708202631,-665.5084447336211,-10.775087108903,-9555.435384466153,13658.0
26500,0.7376499999999999,-1264.9686135290362,-591.2268568469958,-11.746100754757721,-7690.986844457178,13737.0
27000,0.7326999999999999,-1488.9033660721839,-1330.3009358566842,-13.850839049697369,-7965.556421446149,13862.0
27500,0.72775,-1113.1187021671974,-754.1954804270355,-14.207100052677864,-7663.41507975211,13932.0
28000,0.7228,-210.7067002748123,-802.6539020123411,-12.01120013894552,-7458.107347884858,14003.0
28500,0.7178500000000001,-1263.9645695473318,-2065.328345960014,-14.025526099911037,-8302.645589723721,14080.0
29000,0.7129000000000001,-1547.3393522225267,-1860.385616234002,-15.252946970806489,-8679.57938093091,14126.0
29500,0.7079500000000001,-397.07230180513966,-1386.141038703796,-13.004299602277476,-9237.124000157659,14204.0
30000,0.7030000000000001,-1919.895162381219,-428.9266955272518,-15.407578063858168,-9671.606896771906,14267.0
30500,0.6980500000000001,-1746.5847058299241,-175.17367914735058,-11.798517468004349,-8925.88507988412,14320.0
31000,0.6931,-2026.527546143361,-90.44907965388528,-11.888912557377862,-8001.135647402809,14388.0
31500,0.68815,-709.9885499012131,-46.57640621741407,-13.41757929487044,-7885.574778758676,14442.0
32000,0.6832,-1014.0852738649281,-753.4996929248412,-13.025478320384051,-9089.809274258614,14501.0
32500,0.67825,-948.1703704726795,-1421.3412235332537,-12.814583456602213,-8377.914947135981,14601.0
33000,0.6733,-2188.838600175214,-412.84625499967217,-15.89894904065846,-8960.268045587816,14668.0
33500,0.66835,-560.4682810802265,-1006.7740989596423,-18.385735769684125,-8603.249183869657,14732.0
34000,0.6634,-1271.451535647755,-2019.5072795866768,-16.49007623856982,-8676.915092527493,14778.0
34500,0.65845,-1870.4697022023247,-879.4755865330587,-16.639269225077616,-6115.2244636854375,14844.0
35000,0.6535,-1069.5149869128109,-1115.7205706263805,-15.858204141940659,-6722.648784640113,14902.0
35500,0.64855,-1104.785652681728,-2497.752019762088,-17.111534361162274,-7442.764207294089,14939.0
36000,0.6436,-1319.3816120399829,-1983.413459518577,-16.02786927584555,-7877.438004397134,14975.0
36500,0.6386499999999999,-1597.221057653443,-1062.4187897983825,-17.526588157901397,-7827.214824709627,15011.0
37000,0.6336999999999999,-1165.981590256352,-3237.641943513013,-16.823518813626425,-8044.493342238664,15026.0
37500,0.62875,-1525.811681125264,-1404.2929663548653,-18.144407762676956,-8305.859654642745,15071.0
38000,0.6238,-1902.2875834958845,-1836.9053019976986,-14.781023360198576,-8615.888226807656,15097.0
38500,0.61885,-1249.6969736991182,-1343.5486638361635,-15.713759092569418,-8454.744242542372,15121.0
39000,0.6139,-667.3129844630565,-353.1782541954437,-14.97182848391167,-8748.342836459322,15161.0
39500,0.60895,-1051.2990995964499,-146.08745711438513,-13.182279209003948,-9334.818065350779,15219.0
40000,0.604,-1185.2990845810873,-84.28759360212236,-13.331010930081149,-9515.082369640719,15259.0
40500,0.59905,-702.5031430577101,-71.12070203157184,-14.536521359984267,-7904.676504260586,15285.0
